sessao_id,data,sessao,autor,comentario,fala,link
10289,2021-10-05,62, Presidente,Omar Aziz. PSD - AM. Fala da Presidência.,"– Havendo número regimental, declaro aberta a 62ª Reunião da Comissão Parlamentar de Inquérito, criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da covid-19, bem como outras ações e omissões cometidas por administradores públicos federais, estaduais e municipais no trato com a coisa pública, durante a vigência da calamidade originada pela pandemia do coronavírus.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Presidente,Omar Aziz. PSD - AM. Fala da Presidência.,"A presente reunião destina-se ao depoimento do Sr. Raimundo Nonato Brasil, em atendimento ao Requerimento nº 1.149, de autoria dos Senadores Humberto Costa e Alessandro Vieira com o apoiamento da Senadora Eliziane.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Presidente,Pausa.,Eu vou pedir para que o depoente possa ser encaminhado à mesa.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Presidente,Pausa.,"A Comissão foi notificada de decisão liminar do Ministro Dias Toffoli no Habeas Corpus 207.338, nos seguintes termos:",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Presidente,Pausa.,"V. Exa. não precisa responder, Sr. Raimundo, mas, assim mesmo irei fazer a pergunta. É um direito seu não responder.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Presidente,Pausa.,"V. Sa. promete, quanto aos fatos de que tenha conhecimento, na qualidade de testemunha, sob a palavra de honra, nos termos do art. 203 do Código de Processo Penal, dizer a verdade do que souber e lhe for perguntado?",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Raimundo Nonato Brasil,Pausa.,"– Com todo respeito, Sr. Presidente, eu vou prestar o compromisso de falar a verdade, nos limites da decisão do STF para este caso.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Presidente,Omar Aziz. PSD - AM,– Obrigado.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Presidente,Omar Aziz. PSD - AM,"A partir deste momento, V. Sa. está sujeito ao compromisso de dizer a verdade quanto aos fatos de que tenha conhecimento, na qualidade de testemunha, nos termos do art. 203 do Código de Processo Penal.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Presidente,Omar Aziz. PSD - AM,"O senhor tem 15 minutos para falar. Se não desejar, eu passo direto ao Relator.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Raimundo Nonato Brasil,Omar Aziz. PSD - AM,– Vou falar.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Presidente,Omar Aziz. PSD - AM,– Obrigado.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Raimundo Nonato Brasil,Para depor.,– Bom dia a todos e a todas presentes nesta CPI.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Raimundo Nonato Brasil,Para depor.,"Eu quero saudar o Exmo. Sr. Presidente, Senador Omar Aziz; quero saudar o Exmo. Sr. Relator, Senador Renan Calheiros; também quero saudar o Sr. Vice-Presidente, Senador Randolfe Rodrigues; e saudar a todas Senadoras e a todos Senadores desta Casa, em especial, os aqui presentes e que tanto trabalham nesta Comissão Parlamentar.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Raimundo Nonato Brasil,Para depor.,"Numa saudação especial, quero mencionar todos funcionários e colaboradores da VTCLog, incansáveis cidadãos que, assim como eu, vivemos dois anos mais difíceis e desafiadores de nossas vidas: os anos de 2020 e 2021. Deixo a vocês aqui meu agradecimento muito especial.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Raimundo Nonato Brasil,Para depor.,"Meu nome é Raimundo Nonato Brasil, tenho 62 anos e sou empresário, nascido em Barra do Corda, no interior do Estado do Maranhão.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Raimundo Nonato Brasil,Para depor.,"Não irei detalhar aqui minha origem humilde e o sofrimento que passei na vida, sei que a minha história é igual à de tantos outros brasileiros com quem tenho o prazer de conviver diariamente na nossa empresa. Por outro lado, não posso deixar de mencionar o orgulho de ter vindo da roça para Brasília com apenas 14 anos. Deus me deu oportunidade de começar como office boy na antiga Viação Aérea Rio-Grandense, onde trabalhei 12 anos de minha vida. Com o trabalho árduo, cheguei à função de agente de carga internacional e ali aprendi tudo que podia sobre transporte de cargas e descobri minha vocação tanto pela aviação quanto pela logística.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Raimundo Nonato Brasil,Para depor.,"Peço desculpas às senhoras e aos senhores se eu não tenho preparo para falar bem ou com a desenvoltura de tantos doutores e pessoas públicas que estiveram sentados nesta cadeira. Sou homem simples e confesso: minha lida diária é estar, com muita alegria, ao lado dos meus colaboradores, dentro do nosso centro de distribuição, recebendo, armazenando, gerindo e expedindo medicamentos e vacina para o nosso imenso País.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Raimundo Nonato Brasil,Para depor.,"Srs. Senadores, estou aqui para esclarecer, com a minha humilde palavra, aos senhores, pessoas a quem respeito muito, tudo que estiver ao meu alcance, sobre a nossa empresa, ajudar com as minhas palavras no que for possível.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Raimundo Nonato Brasil,Para depor.,"Os contratos firmados entre a VTCLog e o poder público, Senador Presidente, encontram-se sob o controle das autoridades internas, dos órgãos públicos que nos contrataram, assim como dos tribunais de contas, Ministério Público e Controladoria-Geral da União. Jamais deixamos de prestar contas a toda a estrutura fiscalizadora do poder público.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Raimundo Nonato Brasil,Para depor.,"Mas, Senadoras e Senadores, peço licença para falar aos senhores que tenham uma certeza, depois do que passamos nos últimos três meses de exposição na mídia, nada e nem ninguém jamais vai retirar da nossa empresa o registro histórico de ser peça fundamental na distribuição de todos os insumos e medicamentos do Sistema Único de Saúde durante o combate à pandemia. Só do dia 18 de janeiro até hoje, distribuímos mais de 300 milhões de vacinas da covid. No CD do SUS, em Guarulhos, encontram-se aproximadamente 15 milhões de doses de vacinas da covid para serem distribuídas essa semana.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Raimundo Nonato Brasil,Para depor.,"Informo, com orgulho, que todas as vacinas, insumos, medicamentos e EPIs, do Sistema Único de Saúde foram distribuídos pela nossa empresa VTCLog. Todas as vacinas do Programa Nacional de Imunizações foram por nós transportadas. Só este ano, até outubro, distribuímos mais de 300 milhões de doses da covid-19 e estamos preparando para entregar mais de 300 milhões de doses da vacina da covid até o final do ano, para imunizar todos os cidadãos brasileiros.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Raimundo Nonato Brasil,Para depor.,"Somos uma empresa de verdade, que produz benefícios reais ao País e que tanto custo e colaboradores de verdade... Somos mais de mil colaboradores diretos e mais de mil colaboradores indiretos.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Raimundo Nonato Brasil,Para depor.,"Senadoras e Senadores, a empresa que os senhores estão trazendo para depor hoje é a VTCLog, que é parte de um grupo de ajudei a formar e que trabalha há mais de três décadas na área de turismo, logística, mobilidade e agronegócio. Foi com trabalho árduo e capital próprio que a empresa VTCLog se tornou a maior operadora logística da cadeia de frios da América Latina.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Raimundo Nonato Brasil,Para depor.,"A VTCLog não nasceu na pandemia e foi por conta de sua experiência e capacidade operacional e respeito ao mercado que ela foi capaz de suportar o aumento da demanda de recebimento e distribuição de milhares de EPIs, álcool em gel, máscaras e aventais, respiradores, cilindros e usinas de oxigênio. Nossos colaboradores arregaçaram as mangas, nossos caminhões saíram para todo o Brasil trabalhando 24 horas por dia, sete dias por semana, 24 horas, desde março até os dias atuais. Não paramos. Nossa empresa não parou um dia, do início da pandemia até agora.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Raimundo Nonato Brasil,Para depor.,"Queria prestar aqui uma homenagem à Força Aérea Brasileira, que disponibilizou vários aviões para a empresa transportar os insumos para a Região Norte.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Raimundo Nonato Brasil,Para depor.,"Reforço que nosso compromisso é com a vida e por isso é que a nossa empresa dedicou todos os seus esforços ao longo dos anos, investiu capital humano, muita tecnologia e se tornou um dos maiores nomes da logística de fármacos do País, sempre agindo com retidão, respeito, transparência e responsabilidade. Quanto à lisura de nossos atos, cabe destacar que eventuais processos junto ao Tribunal de Contas sempre foram devidamente respondidos a essa Corte, que nunca nos aplicou qualquer penalidade.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Raimundo Nonato Brasil,Para depor.,"A VTCLog está horando seus compromissos e levando a vacina até o braço de todos os brasileiros. Já transportamos, Srs. Senadores, Sras. Senadoras, mais de 300 milhões de doses da vacina da covid. Nossa empresa se disponibilizou em todos os momentos, em todos os instantes, a vir aqui prestar todos os esclarecimentos necessários, inclusive trazendo documentos. Estou aqui respeitosamente à disposição das Sras. e dos Srs. Senadores, com toda a minha humildade e com o compromisso de, dentro dos meus limites físico e de conhecimento, responder a tudo que puder.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Raimundo Nonato Brasil,Para depor.,"Meu muito obrigado por nos permitir estar aqui com os senhores. Muito obrigado, senhores.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Presidente,Omar Aziz. PSD - AM,"– Eu vou passar ao Senador Renan Calheiros, que irá começar a fazer os questionamentos.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Renan Calheiros,Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.,"– Sr. Presidente, Senador Omar Aziz; Sr. Vice-Presidente, Senador Randolfe Rodrigues; Sras. Senadoras e Srs. Senadores, chegamos à semana final dos trabalhos da Comissão Parlamentar de Inquérito. Não efetivamente dos trabalhos, mas dos depoimentos. Nós encerraremos com três depoimentos que faremos, que receberemos durante a semana: hoje o depoimento de um representante da VTCLog; amanhã o depoimento do Presidente da ANS e na sexta-feira o depoimento dos médicos e de algumas vítimas do escabroso teste humano que era um projeto de governo que objetivava revolucionar a medicina no mundo, feito pela Prevent Senior e exposto ao conhecimento detalhado dos brasileiros por esta Comissão Parlamentar de Inquérito.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
10289,2021-10-05,62, Renan Calheiros,Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.,"Eu aproveito a oportunidade, portanto, para iniciarmos, verdadeiramente, do ponto de vista desta relatoria, o depoimento de hoje, agradecendo desde logo a presença do Sr. Raimundo Nonato, que é sócio da empresa VTCLog.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10289
