sessao_id,data,sessao,autor,comentario,fala,link
10243,2021-09-21,56, Presidente,Omar Aziz. PSD - AM. Fala da Presidência.,– Bom dia a todos!,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10243
10243,2021-09-21,56, Presidente,Omar Aziz. PSD - AM. Fala da Presidência.,"Havendo número regimental, declaro aberta a 56ª Reunião da Comissão Parlamentar de Inquérito, criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da covid-19, bem como outras ações e omissões cometidas por administradores públicos federais, estaduais e municipais no trato com a coisa pública, durante a vigência da calamidade originada pela pandemia do coronavírus.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10243
10243,2021-09-21,56, Presidente,Omar Aziz. PSD - AM. Fala da Presidência.,"A presente reunião destina-se ao depoimento do Ministro Wagner de Campos Rosário, em atendimento ao requerimento de autoria do Senador Eduardo Girão.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10243
10243,2021-09-21,56, Presidente,Omar Aziz. PSD - AM. Fala da Presidência.,Solicito que o depoente seja conduzido à mesa.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10243
10243,2021-09-21,56, Presidente,Pausa.,6,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10243
10243,2021-09-21,56, Rogério Carvalho,Bloco Parlamentar da Resistência Democrática/PT - SE. Pela ordem.,"– Presidente, na hora em que o depoente estiver à mesa, eu gostaria de fazer uma questão de ordem.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10243
10243,2021-09-21,56, Humberto Costa,Bloco Parlamentar da Resistência Democrática/PT - PE,"– Eu queria, também nessa ocasião, pedir a palavra pela ordem, Sr. Presidente.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10243
10243,2021-09-21,56, Presidente,"c""Omar Aziz. PSD - AM"", ""Pausa.""",Omar Aziz. PSD - AM – O.k. Pausa.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10243
10243,2021-09-21,56, Presidente,"c""Omar Aziz. PSD - AM"", ""Pausa.""","Primeiro, esclareço aos Senadores e ao Ministro que eu tinha pedido à Secretaria que comunicasse ao Ministro Wagner Rosário que nós iríamos atrasar e esperar o pronunciamento do Excelentíssimo Senhor Presidente da República e depois nós começaríamos a reunião. Então, não é um atraso em que o Ministro ficou aguardando aqui, porque eu pedi que se avisasse com antecedência a ele, para que não ficasse aguardando.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10243
10243,2021-09-21,56, Presidente,"c""Omar Aziz. PSD - AM"", ""Pausa.""","Sr. Ministro, V. Sa. promete, sob a palavra de honra, nos termos do art. 203 do Código de Processo Penal, dizer a verdade do que souber e lhe for perguntado?",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10243
10243,2021-09-21,56, Wagner De Campos Rosário,Para depor.,– Sim.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10243
10243,2021-09-21,56, Presidente,Omar Aziz. PSD - AM,"– A partir deste momento, V. Sa. está sujeito ao compromisso de dizer a verdade, nos termos do art. 203 do Código de Processo Penal.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10243
10243,2021-09-21,56, Presidente,Omar Aziz. PSD - AM,Eu quero aqui dizer que o Ministro não recorreu ao Supremo para estar nessa Comissão. Caso raro; praticamente quase todos aqueles que vieram aqui recorreram ao Supremo Tribunal Federal.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10243
10243,2021-09-21,56, Presidente,Omar Aziz. PSD - AM,"Então, eu parto do princípio de que o Ministro, naquilo que lhe for perguntado, responderá – até porque ele não procurou a Justiça para estar presente aqui.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10243
10243,2021-09-21,56, Presidente,Omar Aziz. PSD - AM,O Senador Rogério Carvalho pediu uma questão de ordem.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10243
10243,2021-09-21,56, Presidente,Omar Aziz. PSD - AM,"Por favor, Senador.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10243
10243,2021-09-21,56, Rogério Carvalho,Bloco Parlamentar da Resistência Democrática/PT - SE. Para questão de ordem.,"– Sr. Presidente, solicito a presente questão de ordem com fundamento no art. 4º, inciso I, da Lei nº 1.579, de 1952, e no art. 412, inciso I, do Regimento Interno desta Casa.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10243
10243,2021-09-21,56, Rogério Carvalho,Bloco Parlamentar da Resistência Democrática/PT - SE. Para questão de ordem.,"Ontem o Brasil assistiu estarrecido ao vídeo postado nas redes sociais por Jair Renan Bolsonaro, filho 04 do Presidente Bolsonaro. O vídeo contém ameaça velada aos trabalhos e aos membros desta Comissão Parlamentar de Inquérito. No vídeo, Jair Renan disse: ""Bom dia, rapaziada. Então, com vocês aí, melhor jeito de acordar: tomando um suquinho, comendo um pão de queijo e visitando a loja de um grande amigo meu aqui: Júnior. Sabe o que o cara vende? Arma, brinquedo"". Cumpre salientar que o mencionado estabelecimento comercial do amigo de Jair Renan vende não apenas armas de airsoft, mas também equipamentos letais.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10243
10243,2021-09-21,56, Rogério Carvalho,Bloco Parlamentar da Resistência Democrática/PT - SE. Para questão de ordem.,"Sobre o vídeo, Jair Renan escreveu sua ameaça: ""Alô, CPI"", ou seja, mostrando pelo menos umas 12 pistolas, armas automáticas. Ao agir dessa forma, ele quis, obviamente, intimidar esta CPI, que levou luz sobre a troca de favores existente entre Jair Renan e o lobista da Precisa Medicamentos, Marconny Faria.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10243
10243,2021-09-21,56, Rogério Carvalho,Bloco Parlamentar da Resistência Democrática/PT - SE. Para questão de ordem.,"A conduta de Jair Renan é inaceitável, pois numa República todos devem estar submetidos à lei, mesmo que sejam filhos do Presidente – esses devem dar exemplo, e não partir para ameaça, como ele fez à CPI, ou seja, tentando obstruir os trabalhos da CPI com ameaça aos seus membros.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10243
