sessao_id,data,sessao,autor,comentario,fala,link
10220,2021-09-15,54, Presidente,Omar Aziz. PSD - AM. Fala da Presidência.,"– Havendo número regimental, está aberta a 54ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da covid-19, bem como outras ações ou omissões cometidas pelos administradores públicos federais, estaduais e municipais, no trato com a coisa pública, durante a vigência da calamidade originada pela pandemia do coronavírus.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
10220,2021-09-15,54, Presidente,Pausa.,"A presente reunião destina-se ao depoimento do Sr. Marconny Nunes Ribeiro Albernaz de Faria, em atendimento ao Requerimento 1.366, de autoria do Senador Randolfe Rodrigues.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
10220,2021-09-15,54, Presidente,Pausa.,"Havendo número regimental, coloco em votação a Ata da 53ª Reunião, solicitando a dispensa de sua leitura.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
10220,2021-09-15,54, Presidente,Pausa.,Os Srs. Senadores que aprovam permanecem como se encontram.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
10220,2021-09-15,54, Presidente,Pausa.,Aprovada.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
10220,2021-09-15,54, Presidente,Pausa.,Eu vou aguardar a chegada do Relator para que a gente possa iniciar os trabalhos.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
10220,2021-09-15,54, Presidente,Pausa.,A Comissão foi notificada de decisão liminar da Ministra Cármen Lúcia no Habeas Corpus 206.092 nos seguintes termos:,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
10220,2021-09-15,54, Presidente,Pausa.,"Questão de ordem do Senador Randolfe ontem, levantada...",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
10220,2021-09-15,54, Randolfe Rodrigues,PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.,"– Sr. Presidente, Sr. Relator, senhor depoente, Sr. Marconny, douta defesa, é só destacar os trechos das decisões que acompanham esta Comissão Parlamentar de Inquérito até agora sobre o sagrado e inviolável direito ao silêncio que assiste a todos os depoentes que já estiveram nesta Comissão e assistirá, obviamente, também ao depoente do dia hoje.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
10220,2021-09-15,54, Randolfe Rodrigues,PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.,"É somente destacar que, nas várias decisões já exaradas a partir da decisão do Ministro Luiz Fux... É importante destacar o que é dito: ""Por outro lado, nenhum direito fundamental é absoluto, muito menos pode ser exercido para além de suas finalidades constitucionais.""",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
10220,2021-09-15,54, Randolfe Rodrigues,PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.,"Destaco esse ponto das decisões já estabelecidas pelo Supremo Tribunal Federal sobre os depoentes para que V. Exa. ou quem estiver na Presidência, a partir de cada inquirição, peça ao depoente destacar em que sentido está utilizando o direito constitucional ao silêncio. Pode ser utilizado de duas formas, como reza a jurisprudência pátria: em primeiro lugar, para garantir o direito de não se autoincriminar; em segundo lugar, para assegurar o sigilo que está estabelecido no Estatuto da Ordem dos Advogados do Brasil entre advogado e paciente.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
10220,2021-09-15,54, Randolfe Rodrigues,PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.,"Então, como preliminar, a cada pergunta – essa questão de ordem foi ontem estabelecida aqui pelo Senador Alessandro Vieira –, a cada questionamento, se o direito ao silêncio for utilizado, seja dito, destacado, declarado pelo depoente em qual dos dois sentidos ele está utilizando o direito constitucional ao silêncio.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
10220,2021-09-15,54, Randolfe Rodrigues,PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.,É a questão de ordem que formulo a V. Exa.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
10220,2021-09-15,54, Presidente,Omar Aziz. PSD - AM,– A sua questão de ordem está naquilo que a Ministra sabiamente coloca na sua decisão.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
10220,2021-09-15,54, Presidente,Omar Aziz. PSD - AM,"O senhor está acompanhado, Sr. Marconny?",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
10220,2021-09-15,54, Presidente,Omar Aziz. PSD - AM,São advogados os dois?,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
10220,2021-09-15,54, Marconny Nunes Ribeiro Albernaz De Faria,Fora do microfone.,– São advogados.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
10220,2021-09-15,54, Presidente,Omar Aziz. PSD - AM,"– Eu só vou pedir aos advogados que, quando for feita a pergunta ao Sr. Marconny, que ele responda; não vocês responderem por ele. Está bom?",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
10220,2021-09-15,54, Presidente,Omar Aziz. PSD - AM,"V. Sa. promete, quanto aos fatos de que tenha conhecimento, na qualidade de testemunha, sob a palavra de honra, nos termos do art. 203 do Código de Processo Penal, dizer a verdade do que souber e Ihe for perguntado?",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
10220,2021-09-15,54, Marconny Nunes Ribeiro Albernaz De Faria,Para depor.,– Sim.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
10220,2021-09-15,54, Presidente,Omar Aziz. PSD - AM,– Sim.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
10220,2021-09-15,54, Presidente,Omar Aziz. PSD - AM,"A partir deste momento, V. Sa. está sujeito ao compromisso de dizer a verdade quanto aos fatos de que tenha conhecimento, na qualidade de testemunha, nos termos do art. 203 do Código de Processo Penal.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
10220,2021-09-15,54, Presidente,Omar Aziz. PSD - AM,"Caso seja do seu interesse, o senhor teria 15 minutos para expor aquilo que seja interessante para o senhor.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
10220,2021-09-15,54, Marconny Nunes Ribeiro Albernaz De Faria,Omar Aziz. PSD - AM,"– Vou querer, sim, os 15 minutos, Sr. Presidente.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10220
