sessao_id,data,sessao,autor,comentario,fala,link
10271,2021-09-30,61, Presidente,Omar Aziz. PSD - AM. Fala da Presidência.,"– Havendo número regimental, declaro aberta a 61ª Reunião da Comissão Parlamentar de Inquérito, criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da covid-19, bem como outras ações e omissões cometidas por administradores públicos federais, estaduais e municipais no trato com a coisa pública, durante a vigência da calamidade originada pela pandemia do coronavírus.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10271
10271,2021-09-30,61, Presidente,Omar Aziz. PSD - AM. Fala da Presidência.,Eu quero aqui comunicar aos membros da CPI que a semana que vem será a última semana que nós ouviremos depoentes.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10271
10271,2021-09-30,61, Presidente,Omar Aziz. PSD - AM. Fala da Presidência.,"Nós iremos ouvir, na terça-feira, o Sr. Carlos...",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10271
10271,2021-09-30,61, Randolfe Rodrigues,PDT/CIDADANIA/REDE/REDE - AP,– Alberto Sá.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10271
10271,2021-09-30,61, Presidente,Omar Aziz. PSD - AM,– ... Alberto Sá.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10271
10271,2021-09-30,61, Randolfe Rodrigues,PDT/CIDADANIA/REDE/REDE - AP,– É executivo da VTCLog.,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10271
10271,2021-09-30,61, Presidente,Omar Aziz. PSD - AM,"– É executivo, proprietário da VTCLog.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10271
10271,2021-09-30,61, Presidente,Omar Aziz. PSD - AM,"A VTCLog foi uma empresa que veio aqui, nós conseguimos descobrir que sacaram muito dinheiro e nós temos que fechar isso, saber para onde esse dinheiro foi direcionado. Então, não tem muita dificuldade em saber qual é a razão de ele vir aqui.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10271
10271,2021-09-30,61, Presidente,Omar Aziz. PSD - AM,"Na quarta-feira, a minha proposta é que nós ouçamos um dos médicos que atuaram dentro da Prevent Senior. Um daqueles 12 médicos. O Senador Humberto e o Senador Randolfe pediram pra fazer uma reunião comigo, na hora do intervalo. Nós faremos a reunião.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10271
10271,2021-09-30,61, Presidente,Omar Aziz. PSD - AM,"E, na quinta-feira, a minha proposta seria ouvir a Agência Nacional de Saúde Suplementar. E nós encerraríamos na quinta.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10271
10271,2021-09-30,61, Presidente,Omar Aziz. PSD - AM,"A semana que vem, dia 12, é feriado. O Senador Renan Calheiros teria tempo suficiente para elaborar o seu relatório, e nós votaríamos o relatório do Senador Renan. No dia 19, terça-feira, seria apresentado e, no dia 20, quarta-feira, seria lido o relatório e votado o relatório.",https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10271
10271,2021-09-30,61, Presidente,Omar Aziz. PSD - AM,Esse é o nosso cronograma de...,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10271
